GeneFamily	SRR4096731	SRR4096732	SRR4096733	SRR4096734	SRR4096735	SRR4096736	SRR4096737	SRR4096738	SRR4096739	SRR4096740	SRR4096741	SRR4096742	SRR4096743	SRR4096744	SRR4096745	SRR4096746	SRR4096747	SRR4096748	SRR4096749	SRR4096750	SRR4096751	SRR4096752	SRR4096753	SRR4096754	SRR4096755	SRR4096756	SRR4096757	SRR4096758	SRR4096759
K07148	121.4482629296	67.3666532097	57.9361842345	35.5320031325	13.9345208303	86.5869049123	61.3535868649	47.6841669231	106.8890037723	96.4623050950	113.4150972495	82.7283342214	118.7875160826	65.2576144809	74.1566020336	41.8564077811	38.0006819872	66.2290071251	55.7416478153	55.3724682198	7.9648278627	124.9739720772	66.3133936973	82.3959751801	27.6031838028	54.3895684162	86.0681893593	65.9194322346	11.3960631570
K07149	0	0	0	0	0	0	0	0	0	0	12.3177553900	0	0	0	0	9.7774236038	0	0	0	0	0	0	0	0	0	0	0	0	0
K07150	110.8569892677	17.7467219653	81.1230567967	549.5961378898	31.6968592803	127.0045456093	2101.4998958040	96.1509644992	281.9544288072	4506.2519300984	1408.5203897739	291.4633094469	86.1660667300	77.5355773965	4083.4684275808	2375.9546542671	1312.4697798763	1193.3523396312	1992.6000700659	645.1316672497	270.7831183420	470.4403126803	0	52.2575008442	25.2634857039	170.9515700023	130.5264221188	198.6173126148	50.0056999411
K07151	0	17.8771869652	11.7166860762	0	0	57.5323788823	0	41.5471440708	0	0	17.1359039594	0	0	14.9878978798	0	0	0	0	0	0	0	0	0	0	0	16.0573045171	0	11.1740681870	0
K07152	0	0	0	0	0	0	0	32.2446740206	0	0	0	0	0	5.7087292824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K07153	0	0	8.7987125750	0	0	0	0	0	0	87.2133239268	18.1913266170	0	0	0	0	42.8093677612	13.1026875480	0	21.1744645666	0	9.6639387574	0	0	0	0	0	0	0	0
K07154	755.0236061862	1151.1184296582	815.9525207377	331.3745005458	131.9600659954	920.5478061544	570.1514479316	584.6274179105	872.6777048590	404.9168178686	983.8759140473	605.3865843580	1157.7994006375	571.4242562500	653.1028265556	204.3946618472	410.7919021670	607.1291683713	252.7480727239	771.3558934334	34.6667164688	1052.5659124743	978.9712430652	617.5536659394	253.1363930680	824.8048413366	620.6911560042	763.5475305395	66.3582191319
K07156	0	0	0	8.8235294118	0	0	0	5.8823529412	0	76.4315622848	0	0	0	8.8235294118	0	26.3118424865	0	0	23.5207866138	0	17.6424325979	0	0	14.7058823529	0	0	0	19.2679906026	0
K07158	0	0	8.3798882682	0	0	0	16.7519957673	0	16.7442149982	0	22.3230264079	0	0	0	0	0	0	33.4962539920	0	0	0	0	0	0	0	0	0	0	0
K07160	11.3680896275	17.7420552623	37.1145825795	0	12.7925287985	140.7596514561	8.3977068530	64.5263694578	0	112.4447290239	37.5074527497	0	0	15.0885631872	9.8938887797	59.0501057529	0	0	32.7811237427	0	0	0	0	17.0395336566	0	42.3692969103	0	37.5046642926	15.4527091197
