GeneFamily	SRR5451791	SRR5451792	SRR5451801	SRR5451802	SRR5451803	SRR5451804	SRR5451805	SRR5451806	SRR5451807	SRR5451808	SRR5451809	SRR5452015	SRR5452016	SRR5452017	SRR5452018	SRR5452019	SRR5452020	SRR5452021	SRR5452022
K03782	0	0	0	58.1531929236	19.9399079642	0	25.3450680179	357.5688509614	0	0	8.3491398340	399.7083973604	0	0	0	0	75.8128471311	224.4899649156	20.6116518813
K03783	13.9518098581	0	19.0028394078	23.5854496716	29.5397197464	14.2818009492	22.3491566244	0	0	9.7210145930	27.4377520012	31.8277771659	0	0	0	0	7.2063427269	32.7054884636	24.4972465251
K03784	36.7796846650	19.1892350668	14.8078519522	100.7735992765	48.2380912068	38.3580539603	48.6345686672	23.5086564964	20.7180817006	0	35.1067928075	952.3494749386	0	0	0	30.8725070225	33.9341481572	471.6635868757	31.0484427457
K03785	15.0962787323	9.2234694776	13.7904443248	168.1708307820	103.0650826436	37.4544371521	23.5802799707	0	0	0	25.1228498311	99.3999503958	0	0	0	0	20.0620573356	20.7663328038	9.8562574866
K03786	82.8753158934	0	50.9416941576	66.7109553554	41.7823631065	51.9074446128	55.7993012030	743.9743725697	0	0	7.8329337712	790.0370357387	0	25.6360408958	60.9770328409	17.1992442710	233.7592696868	537.4580824032	33.5020123453
K03787	8.3346573320	5.6002818154	0	60.1856994022	10.9653404851	0	6.8533928093	655.9994565625	0	0	0	515.9934635816	0	0	0	6.8449158778	228.7253704162	393.0749389592	0
K03788	0	0	5.8549728406	45.5791383305	8.1403565012	0	0	11.3365635185	0	0	5.6043117093	13.1826914464	0	0	0	0	0	8.7938444949	0
K03789	25.5446799954	0	8.3363847356	70.0986515534	23.4377713753	50.1198041634	39.0318053277	61.1759373685	0	0	24.3340972255	499.6700668280	0	0	42.1652737338	0	33.3360861454	256.7431165767	0
K03790	0	0	7.6178003217	35.1177587533	7.3302577127	65.6379936054	0	12.9137542899	0	0	17.1814621563	23.6910137430	0	0	115.0896583873	0	0	7.2694274872	0
K03796	0	0	0	24.0787360575	5.0936100134	0	5.4453465901	17.8211248057	0	0	0	34.3458614405	0	0	0	0	0	5.0940796273	0
K03797	23.3798609982	10.7607384410	13.0861670518	68.7546255587	23.8509444829	18.3609582515	17.3886204262	1081.6680058916	17.7200029256	0	24.8531272082	1114.3152680057	0	0	0	0	237.9127840042	711.0812234283	0
K03798	2005.5167151093	656.4458496806	1201.6803257933	2882.1127087643	2254.6118870889	1928.6807605475	2172.1572182160	3507.3510744760	508.1027016519	975.8537416831	968.3268820823	3595.2308045478	619.3207013860	1516.2895862414	2212.3571404834	1722.0128404079	2922.9008191648	2918.8211229173	2348.4825152467
K03799	158.1064728359	0	19.7652112913	66.6737174550	13.7517174025	98.8756894359	31.4110127025	1633.5905695445	11.6636169971	0	16.1351933986	1407.5398780349	0	12.8609115289	165.2590315175	17.6658175639	657.0074003144	1115.6361499854	20.8326232718
K03800	25.2490614989	0	0	56.1588229019	15.3085218520	33.1520131838	21.4838493132	75.0406312471	8.2165195203	0	7.1791322061	1314.3930248244	0	0	52.8372999098	33.1473109641	32.3260248402	658.6805800476	4.1418444606
K03801	7.9467469205	0	12.4474564035	37.2341276067	9.6680958198	0	23.9431765589	665.9996820067	0	0	7.8767366545	898.7230001212	0	0	0	8.1790299874	136.4539991949	418.2278578302	10.7953483910
K03802	0	0	0	0	0	0	0	503.5785137001	0	0	0	143.6871013001	0	0	0	0	24.8255989229	59.9156450012	0
K03803	0	0	0	40.0411716481	8.9736484103	0	0	0	0	0	0	33.6707862453	0	0	0	0	0	0	0
K03804	0	5.9683145459	0	37.8492068601	13.5276064633	0	0	8.8989016344	0	0	0	28.5496728187	0	0	0	10.2970172740	0	9.0490498882	0
