"A001"	"A003"	"A006"	"A007"	"A010"	"A011"	"A013"	"A015"	"A018"	"A020"	"A021"	"A024"	"A025"	"A028"	"A029"	"A031"	"A034"	"A035"	"A037"	"A039"	"A081"	"A082"	"A083"	"A084"	"A085"	"A086"	"A091"	"A093"	"A094"	"A098"	"A099"	"A100"	"A101"	"A107"	"A108"	"A109"	"A116"	"A118"	"A119"	"A120"
"193174"	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"360385"	7.14285714285714e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05
"178452"	0	4.76190476190476e-05	0	0	0	0	0	0	4.76190476190476e-05	2.38095238095238e-05	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"31235"	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4402610"	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"356644"	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	7.14285714285714e-05	0	2.38095238095238e-05	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	4.76190476190476e-05	2.38095238095238e-05	0	0	0	0	0	2.38095238095238e-05
"193219"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14285714285714e-05	0	0	0
"326013"	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"107098"	0	0	0	0	0	0	2.38095238095238e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	2.38095238095238e-05	2.38095238095238e-05	0	0	4.76190476190476e-05	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0
"305997"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38095238095238e-05	0	0	0
